gene	log2FC	p	padj	n
ACVR1	-0.0229043405808898	0.701470893318824	0.959187747965791	12
ACVR1B	-0.0161778825082083	0.87381840805818	0.984111799827609	12
ACVR2A	0.0504302317492821	0.622282064012855	0.949954181497309	12
ACVR2B	-0.0402622510046246	0.807873397110859	0.972633114012103	12
ACYP1	0.0181039914763693	0.891519106788861	0.985006155510019	12
ACYP2	0.010226025813069	0.92871947000492	0.989583338064636	12
ADA	0.0544817298369493	0.674885243745491	0.952774103197234	12
ADAL	0.111755922541319	0.129953741213483	0.883296665796862	12
ADAM10	0.106991100164769	0.320294493849742	0.917138954708258	12
ADAM12	-0.0466828321660549	0.728079987456927	0.96306012380169	12
ADAM15	-0.110192479885026	0.117164661574726	0.872667636574429	12
ADAM17	0.0522151226654207	0.477515944650976	0.933184723622753	12
ADAM19	-0.170051109912293	0.0642842881746696	0.810135107082037	12
ADAM22	0.179135286073214	0.282670964839455	0.914212316353145	12
ADAM23	0.0130653360290284	0.855138238362818	0.979967728707732	12
ADAM28	0.0985424685487275	0.629591965072196	0.949954181497309	12
ADAM32	0.291439932057482	0.145554164393967	0.883296665796862	12
ADAM8	-0.590489490078815	0.245043984179346	0.910126055855996	12
ADAM9	0.0969151242539124	0.346322712228143	0.920065355159794	12
ADAMTS1	0.0553327249845775	0.516233576740328	0.93899561275103	12
ADAMTS10	-0.0702205905970444	0.414935298779338	0.92753804187868	12
ADAMTS12	0.0196662785699301	0.895876519274895	0.985006155510019	12
ADAMTS13	0.0607292284273113	0.761200446229018	0.967528563621459	12
ADAMTS14	-0.0560619777332967	0.673248480007733	0.952774103197234	12
ADAMTS15	-0.0839739070122425	0.561829338373181	0.945264835526615	12
ADAMTS16	0.0187099207158644	0.90935487126638	0.987293945589187	12
ADAMTS17	-0.171254437957397	0.52406902251767	0.939287764547997	12
ADAMTS2	-0.0843321351913771	0.246976230039234	0.910126055855996	12
ADAMTS3	-0.0171684265609175	0.933790685240735	0.989885987650565	12
ADAMTS5	0.227845071994974	0.160896571747285	0.888115387159638	12
